City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
385,Gao,ML,80.83,clear sky,16.64,1.64,
388,San Andres,CO,87.8,scattered clouds,12.58,-81.7,Hotel Arena Blanca
393,Black River,JM,84.2,broken clouds,18.03,-77.85,Idlers' Rest Beach Hotel
394,Harrisburg,US,77.0,clear sky,40.27,-76.88,Hilton Harrisburg
399,Ixtapa,MX,86.0,clear sky,20.7,-105.2,Container Inn Puerto Vallarta
401,Capela Do Alto,BR,89.01,clear sky,-23.47,-47.73,Pousada Central
402,Sehithwa,BW,83.1,light rain,-20.47,22.72,MONLEK GUEST HOUSE
405,Dong Hoi,VN,74.59,light rain,17.48,106.6,Nam Long Hotel
406,Madang,PG,75.9,overcast clouds,-5.22,145.8,Comfort Inn Hotel
407,Bulungu,CD,73.26,overcast clouds,-4.55,18.6,
408,Key West,US,78.8,mist,24.56,-81.78,Fairfield Inn & Suites by Marriott Key West
410,Bartlesville,US,72.0,overcast clouds,36.75,-95.98,Hilton Garden Inn Bartlesville
412,Micheweni,TZ,80.2,clear sky,-4.97,39.83,
